,champion,cluster
0,Aatrox,19
1,Ahri,14
2,Akali,15
3,Alistar,2
4,Amumu,12
5,Anivia,8
6,Annie,17
7,Aphelios,6
8,Ashe,6
9,Aurelion Sol,19
10,Azir,14
11,Bard,7
12,Blitzcrank,2
13,Brand,9
14,Braum,2
15,Caitlyn,6
16,Camille,5
17,Cassiopeia,15
18,Cho'Gath,19
19,Corki,0
20,Darius,7
21,Diana,15
22,Dr. Mundo,14
23,Draven,11
24,Ekko,15
25,Elise,1
26,Evelynn,14
27,Ezreal,18
28,Fiddlesticks,19
29,Fiora,5
30,Fizz,19
31,Galio,19
32,Gangplank,0
33,Garen,7
34,Gnar,3
35,Gragas,1
36,Graves,5
37,Hecarim,1
38,Heimerdinger,0
39,Illaoi,0
40,Irelia,5
41,Ivern,13
42,Janna,8
43,Jarvan IV,10
44,Jax,5
45,Jayce,0
46,Jhin,6
47,Jinx,6
48,Kai'Sa,11
49,Kalista,11
50,Karma,19
51,Karthus,18
52,Kassadin,15
53,Katarina,7
54,Kayle,14
55,Kayn,1
56,Kennen,3
57,Kha'Zix,1
58,Kindred,1
59,Kled,19
60,Kog'Maw,18
61,LeBlanc,14
62,Lee Sin,10
63,Leona,16
64,Lillia,14
65,Lissandra,15
66,Lucian,14
67,Lulu,16
68,Lux,1
69,Malphite,19
70,Malzahar,15
71,Maokai,3
72,Master Yi,7
73,Miss Fortune,6
74,Mordekaiser,15
75,Morgana,1
76,Nami,13
77,Nautilus,2
78,Neeko,3
79,Nidalee,5
80,Nocturne,7
81,Nunu & Willump,7
82,Olaf,1
83,Orianna,15
84,Ornn,19
85,Pantheon,1
86,Poppy,19
87,Pyke,10
88,Qiyana,15
89,Quinn,0
90,Rakan,2
91,Rammus,10
92,Rek'Sai,7
93,Renekton,5
94,Rengar,5
95,Riven,5
96,Rumble,0
97,Ryze,15
98,Sejuani,10
99,Senna,14
100,Sett,1
101,Shaco,11
102,Shen,7
103,Shyvana,18
104,Singed,15
105,Sion,19
106,Sivir,6
107,Skarner,2
108,Sona,12
109,Soraka,8
110,Swain,18
111,Sylas,15
112,Syndra,14
113,Tahm Kench,2
114,Taliyah,14
115,Talon,15
116,Taric,16
117,Teemo,4
118,Thresh,16
119,Tristana,5
120,Trundle,10
121,Tryndamere,7
122,Twisted Fate,5
123,Twitch,6
124,Urgot,5
125,Varus,6
126,Vayne,14
127,Veigar,15
128,Vel'Koz,0
129,Vi,12
130,Viktor,0
131,Vladimir,14
132,Volibear,7
133,Warwick,10
134,Wukong,1
135,Xayah,6
136,Xerath,4
137,Xin Zhao,1
138,Yasuo,7
139,Yorick,5
140,Yuumi,3
141,Zac,1
142,Zed,14
143,Ziggs,18
144,Zilean,19
145,Zoe,0
146,Zyra,4
